EntryDate,ExitDate,Asset,Direction,EntryPrice,ExitPrice,StopLoss,Target,PositionSize,Contracts,GrossPnL,TransactionCost,NetPnL
2013-01-18,2013-01-18,6B,Bullish,1.5974,1.5936182922500002,1.5944155,1.6059534999999998,1.0,1.0,-236.35673437498448,7.0,-243.35673437498448
2013-02-08,2013-02-08,6B,Bearish,1.5703,1.57372697025,1.5729405,1.5627,1.0,1.0,-214.18564062500312,7.0,-221.18564062500312
2013-02-22,2013-02-22,6B,Bearish,1.5259,1.5169876147499999,1.5291235,1.5162295,1.0,1.0,557.0240781250096,7.0,550.0240781250096
2013-02-26,2013-02-26,6B,Bearish,1.5164,1.5205398899999998,1.51978,1.5082,1.0,1.0,-258.7431249999883,7.0,-265.7431249999883
2013-04-18,2013-04-19,6B,Bullish,1.524,1.5312564887500004,1.5211925,1.5320225000000003,1.0,1.0,453.53054687502504,7.0,446.53054687502504
2013-05-10,2013-05-10,6B,Bearish,1.544,1.5363122722499998,1.5468185,1.5355444999999999,1.0,1.0,480.48298437501626,7.0,473.48298437501626
2013-05-12,2013-05-13,6B,Bearish,1.5355,1.5281606984999998,1.539001,1.527397,1.0,1.0,458.7063437500177,7.0,451.7063437500177
2013-05-16,2013-05-16,6B,Bearish,1.5236,1.52725974825,1.5264965000000001,1.517,1.0,1.0,-228.73426562500242,7.0,-235.73426562500242
2013-06-07,2013-06-07,6B,Bullish,1.5599,1.5560830692500003,1.5568615000000001,1.5684,1.0,1.0,-238.5581718749863,7.0,-245.5581718749863
2013-07-11,2013-07-11,6B,Bearish,1.5121,1.51646135175,1.5157035,1.5008894999999998,1.0,1.0,-272.5844843750047,7.0,-279.5844843750047
2013-07-12,2013-07-15,6B,Bearish,1.5166,1.5048230354999999,1.520643,1.504071,1.0,1.0,736.0602812500061,7.0,729.0602812500061
2013-07-18,2013-07-19,6B,Bearish,1.5202,1.5249651014999999,1.524203,1.508591,1.0,1.0,-297.8188437499918,7.0,-304.8188437499918
2013-08-01,2013-08-01,6B,Bearish,1.517,1.52109666825,1.5203365,1.5065904999999997,1.0,1.0,-256.04176562500635,7.0,-263.04176562500635
2013-08-02,2013-08-02,6B,Bearish,1.5113,1.51552688475,1.5147695,1.5008915,1.0,1.0,-264.18029687499956,7.0,-271.18029687499956
2013-08-29,2013-09-03,6B,Bearish,1.5526,1.5560511367499998,1.5552735,1.5441795,1.0,1.0,-215.69604687499134,7.0,-222.69604687499134
2013-09-20,2013-09-20,6B,Bullish,1.6025,1.5990205897500003,1.5998205,1.6109384999999998,1.0,1.0,-217.46314062498496,7.0,-224.46314062498496
2013-10-10,2013-10-10,6B,Bullish,1.5948,1.59123948225,1.5920355,1.6030935000000002,1.0,1.0,-222.5323593749995,7.0,-229.5323593749995
2013-10-18,2013-10-22,6B,Bullish,1.6142,1.6216857515000003,1.611301,1.622497,1.0,1.0,467.859468750012,7.0,460.859468750012
2013-11-06,2013-11-07,6B,Bullish,1.604,1.6004828582500001,1.6012835,1.6121495000000001,1.0,1.0,-219.821359374997,7.0,-226.821359374997
2013-11-08,2013-11-08,6B,Bullish,1.6084,1.6047142415000002,1.605517,1.617049,1.0,1.0,-230.35990624999113,7.0,-237.35990624999113
2013-11-10,2013-11-11,6B,Bullish,1.6006,1.5978296855,1.5986289999999999,1.6101130000000001,1.0,1.0,-173.14465624999886,7.0,-180.14465624999886
2013-11-14,2013-11-14,6B,Bullish,1.604,1.6006337827500001,1.6014345,1.6120965,1.0,1.0,-210.3885781249981,7.0,-217.3885781249981
2013-11-21,2013-11-21,6B,Bullish,1.6096,1.6166912500000001,1.6067924999999998,1.6175,1.0,1.0,443.2031250000135,7.0,436.2031250000135
2013-12-03,2013-12-03,6B,Bullish,1.6357,1.6424068857499998,1.6331905,1.6432284999999998,1.0,1.0,419.1803593749932,7.0,412.1803593749932
2013-12-05,2013-12-05,6B,Bullish,1.6377,1.63432792725,1.6351455,1.6442,1.0,1.0,-210.75454687499717,7.0,-217.75454687499717
2013-12-06,2013-12-06,6B,Bullish,1.6331,1.6295987930000002,1.630414,1.640758,1.0,1.0,-218.82543749998652,7.0,-225.82543749998652
2013-12-08,2013-12-09,6B,Bullish,1.6344,1.6407886952499997,1.6314635,1.6416094999999997,1.0,1.0,399.293453124977,7.0,392.293453124977
2013-12-12,2013-12-12,6B,Bullish,1.6374,1.63432892675,1.6351465,1.6445604999999996,1.0,1.0,-191.9420781249931,7.0,-198.9420781249931
2013-12-19,2013-12-19,6B,Bullish,1.6374,1.63429294475,1.6351105,1.6446685,1.0,1.0,-194.19095312499246,7.0,-201.19095312499246
2014-01-09,2014-01-10,6B,Bullish,1.6437,1.64042687625,1.6412475,1.6510574999999998,1.0,1.0,-204.57023437499276,7.0,-211.57023437499276
2014-01-10,2014-01-10,6B,Bullish,1.647,1.6439266255,1.644749,1.654553,1.0,1.0,-192.08590625000022,7.0,-199.08590625000022
2014-01-12,2014-01-13,6B,Bullish,1.6478,1.6443484145,1.645171,1.655287,1.0,1.0,-215.72409374999432,7.0,-222.72409374999432
2014-01-22,2014-01-22,6B,Bullish,1.6467,1.6538611557500003,1.6441705,1.6546885000000002,1.0,1.0,447.5722343750127,7.0,440.5722343750127
2014-01-26,2014-01-27,6B,Bullish,1.6476,1.654744214,1.644676,1.6555719999999998,1.0,1.0,446.5133749999989,7.0,439.5133749999989
2014-02-13,2014-02-13,6B,Bullish,1.6605,1.6653669,1.6580425,1.6662,1.0,1.0,304.1812499999935,7.0,297.1812499999935
2014-02-19,2014-02-19,6B,Bullish,1.6679,1.6644958357500002,1.6653285,1.6747,1.0,1.0,-212.7602656249866,7.0,-219.7602656249866
2014-03-13,2014-03-13,6B,Bullish,1.6617,1.6676427615,1.659441,1.668477,1.0,1.0,371.4225937500037,7.0,364.4225937500037
2014-03-20,2014-03-20,6B,Bullish,1.6522,1.6489965892499998,1.6498214999999998,1.6589355000000001,1.0,1.0,-200.21317187500495,7.0,-207.21317187500495
2014-05-04,2014-05-05,6B,Bullish,1.687,1.6842764405000001,1.685119,1.6916,1.0,1.0,-170.22246874999482,7.0,-177.22246874999482
2014-05-09,2014-05-09,6B,Bullish,1.6929,1.6903039252500003,1.6911495,1.6981515,1.0,1.0,-162.25467187498677,7.0,-169.25467187498677
2014-05-11,2014-05-13,6B,Bullish,1.6848,1.6821080252500002,1.6829495,1.6899515,1.0,1.0,-168.2484218749891,7.0,-175.2484218749891
2014-05-22,2014-05-22,6B,Bullish,1.6895,1.6866962300000001,1.68754,1.69498,1.0,1.0,-175.235624999992,7.0,-182.235624999992
2014-06-06,2014-06-06,6B,Bullish,1.6806,1.6780590507500002,1.6788985,1.6861045000000001,1.0,1.0,-158.80932812499526,7.0,-165.80932812499526
2014-06-11,2014-06-11,6B,Bearish,1.6748,1.6773972795,1.6765590000000001,1.6699229999999998,1.0,1.0,-162.3299687499996,7.0,-169.3299687499996
2014-07-16,2014-07-16,6B,Bullish,1.7134,1.7111884777500002,1.7120445,1.7182665000000001,1.0,1.0,-138.2201406249922,7.0,-145.2201406249922
2014-08-01,2014-08-01,6B,Bearish,1.6885,1.68574245,1.6901694999999999,1.6849,1.0,1.0,172.3468749999929,7.0,165.3468749999929
2014-08-03,2014-08-04,6B,Bearish,1.6821,1.6843232407499997,1.6834814999999999,1.6792777500000002,1.0,1.0,-138.9525468749875,7.0,-145.9525468749875
2014-09-10,2014-09-10,6B,Bearish,1.6122,1.60670295,1.6145445,1.6059,1.0,1.0,343.5656250000002,7.0,336.5656250000002
2014-09-11,2014-09-11,6B,Bearish,1.6198,1.6230621254999997,1.6222509999999999,1.612447,1.0,1.0,-203.88284374998898,7.0,-210.88284374998898
2014-09-19,2014-09-19,6B,Bullish,1.6414,1.6490890429999998,1.638562,1.6499139999999997,1.0,1.0,480.5651874999899,7.0,473.5651874999899
2014-10-16,2014-10-16,6B,Bearish,1.598,1.602136668,1.601336,1.587992,1.0,1.0,-258.54174999999367,7.0,-265.54174999999367
2014-10-17,2014-10-20,6B,Bearish,1.6089,1.61283751575,1.6120315,1.5987055,1.0,1.0,-246.0947343749936,7.0,-253.0947343749936
2014-11-06,2014-11-06,6B,Bearish,1.5959,1.58812916775,1.5986215000000001,1.5873355,1.0,1.0,485.677015625005,7.0,478.677015625005
2014-11-16,2014-11-17,6B,Bearish,1.5662,1.57003112325,1.5692465,1.5589,1.0,1.0,-239.44520312499384,7.0,-246.44520312499384
2014-12-10,2014-12-10,6B,Bearish,1.5685,1.57203412425,1.5712485,1.5598545,1.0,1.0,-220.8827656249995,7.0,-227.8827656249995
2014-12-11,2014-12-11,6B,Bearish,1.575,1.5668640405000003,1.5779729999999998,1.5660810000000003,1.0,1.0,508.49746874997993,7.0,501.49746874997993
2014-12-17,2014-12-17,6B,Bearish,1.5732,1.5657179677499997,1.5762215,1.5649354999999998,1.0,1.0,467.6270156250133,7.0,460.6270156250133
2015-01-11,2015-01-11,6B,Bearish,1.5181,1.5184878644999997,1.5177289999999999,1.506413,1.0,1.0,-24.24153124998274,7.0,-31.24153124998274
2015-01-14,2015-01-14,6B,Bearish,1.5161,1.51912168125,1.5183625,1.5089124999999999,1.0,1.0,-188.85507812499424,7.0,-195.85507812499424
